Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,latitude,longitude,Life Expectancy,Population
78,Egypt,91.19,21.72,53.39,47.41,26.27,11.07,48.29,83.37,90.8,26.820553,30.802498,70.19999695,#REF!
79,Kenya,90.94,32.19,43.67,63.44,33.36,26.86,52.13,69.21,99.79,-0.023559,37.906193,61.40000153,#REF!
80,Vietnam,86.26,28.18,54.24,59.09,35.59,24.05,29.68,85.59,71.24,14.058324,108.277199,73.59999847,#REF!
81,Philippines,81.4,20.06,57.64,67.71,33.62,29.65,42.88,72.94,61.65,12.879721,121.774017,69.30000305,#REF!
82,Peru,81.29,28.52,32.76,55.83,30.74,18.59,49.6,82.4,97.69,-9.189967,-75.015152,72.40000153,#REF!
83,Venezuela,73.03,12.72,16.84,39.15,41.77,18.27,33.14,75.65,99.93,6.42375,-66.58973,70.59999847,#REF!
84,Iran,69.38,18.03,50.25,52.31,36.49,28.62,46.72,75.22,65.69,32.427908,53.688046,73.90000153,#REF!
85,Sri Lanka,68.9,15.28,59.03,72.02,22.41,44.39,56.89,60.25,59.11,7.873054,80.771797,76.40000153,#REF!
86,Bangladesh,68.49,25.34,36.94,41.74,29.28,11.87,57.51,85.53,71.29,23.684994,90.356331,72.40000153,#REF!
87,Nigeria,45.13,8.25,35.91,48.49,30.01,22.35,63.39,88.09,60.75,9.081999,8.675277,52.70000076,#REF!
